1;air_base;1440.00;10.00;280.00;1.97;0
1;naval_base;1389.00;9.73;361.00;-1.06;1668
1;bunker;1434.00;10.00;316.00;0.99;0
1;floating_harbor;1413.80;9.50;323.40;-3.79;509
1;floating_harbor;1393.18;9.50;345.12;-4.12;2097
1;floating_harbor;1379.88;9.50;357.60;-4.21;8464
1;floating_harbor;1424.36;9.50;309.79;-4.39;12103
1;floating_harbor;1426.31;9.50;293.06;1.27;9383
2;air_base;1306.00;10.00;516.00;2.47;0
2;bunker;1325.00;10.00;511.00;6.16;0
3;air_base;1330.00;10.00;482.00;0.41;0
3;bunker;1341.00;10.00;487.00;0.48;0
4;air_base;1296.00;10.00;387.00;0.92;0
4;bunker;1321.00;10.00;425.00;2.04;0
5;air_base;1345.00;10.00;409.00;5.14;0
5;bunker;1354.00;10.00;405.00;2.54;0
6;air_base;1382.00;10.00;559.00;4.19;0
6;bunker;1401.00;10.00;566.00;3.59;0
7;air_base;1451.00;10.00;568.00;3.59;0
7;bunker;1451.00;10.00;553.00;2.54;0
8;air_base;1406.00;10.00;531.00;2.64;0
8;bunker;1458.00;10.00;532.00;3.66;0
10;air_base;1521.00;10.00;451.00;2.54;0
10;bunker;1513.00;10.00;451.00;0.11;0
11;air_base;1513.00;10.00;483.00;0.48;0
11;bunker;1499.00;10.00;472.00;5.37;0
12;air_base;1513.00;10.00;551.00;6.16;0
12;naval_base;1502.00;10.00;588.00;-4.05;2749
12;bunker;1546.00;10.00;578.00;5.44;0
12;floating_harbor;1538.63;9.50;594.86;0.20;27
12;floating_harbor;1492.99;9.50;595.93;-0.14;7656
12;floating_harbor;1508.74;9.50;592.13;1.11;8408
12;floating_harbor;1555.87;9.50;595.26;0.46;11684
13;air_base;1539.00;10.00;523.00;5.21;0
13;bunker;1567.00;10.00;531.00;0.65;0
14;air_base;1613.00;10.00;560.00;3.15;0
14;bunker;1614.00;10.00;552.00;0.04;0
15;air_base;1704.00;10.00;562.00;3.66;0
15;bunker;1691.00;10.00;579.00;5.37;0
16;air_base;1600.00;10.00;499.00;1.60;0
16;bunker;1605.00;10.00;422.00;1.83;0
17;air_base;1682.00;10.00;462.00;0.65;0
17;bunker;1695.00;10.00;454.00;1.67;0
18;air_base;1653.00;10.00;393.00;0.04;0
18;bunker;1657.00;10.00;394.00;6.23;0
19;air_base;1656.00;10.00;353.00;5.37;0
19;bunker;1652.00;10.00;357.00;6.23;0
20;air_base;1683.00;10.00;402.00;6.23;0
20;bunker;1680.00;10.00;345.00;1.67;0
21;air_base;1623.00;10.00;315.00;5.28;0
21;bunker;1628.00;10.00;319.00;2.78;0
22;air_base;1564.00;10.00;345.00;3.22;0
22;bunker;1585.00;10.00;325.00;5.44;0
23;air_base;1563.00;10.00;278.00;3.73;0
23;bunker;1553.00;10.00;301.00;4.84;0
24;air_base;1527.00;10.00;326.00;1.67;0
24;bunker;1469.00;10.00;284.00;0.25;0
25;air_base;1589.00;10.00;220.00;0.71;0
25;naval_base;1548.00;10.00;207.00;-0.19;12811
25;bunker;1559.00;10.00;228.00;4.91;0
25;floating_harbor;1610.27;9.50;221.39;-2.29;3336
25;floating_harbor;1546.71;9.50;199.12;-3.33;6598
25;floating_harbor;1584.21;9.50;209.36;-2.82;9352
25;floating_harbor;1555.40;9.50;202.50;-3.52;12229
26;air_base;1461.00;10.00;256.00;0.11;0
26;naval_base;1532.00;9.50;199.00;0.00;12684
26;bunker;1532.00;10.00;202.00;3.52;0
26;floating_harbor;1475.00;9.50;204.00;-3.14;2421
26;floating_harbor;1418.00;9.50;232.00;-4.45;3135
26;floating_harbor;1489.52;9.50;201.62;-3.84;6707
26;floating_harbor;1427.17;9.50;248.48;-4.49;8489
26;floating_harbor;1457.37;9.50;206.03;-3.23;9044
26;floating_harbor;1514.00;9.50;197.00;-3.14;12231
26;floating_harbor;1529.00;9.50;193.00;-3.14;12233
27;air_base;1404.00;10.00;179.00;5.44;0
27;naval_base;1412.00;9.73;177.00;0.38;12591
27;bunker;1409.00;10.00;204.00;2.41;0
27;floating_harbor;1423.42;9.50;233.98;0.08;747
27;floating_harbor;1374.37;9.50;193.97;0.09;3302
27;floating_harbor;1380.29;9.50;200.18;0.74;3802
27;floating_harbor;1378.25;9.50;199.16;-4.45;4081
27;floating_harbor;1447.46;9.50;198.45;-2.78;4354
27;floating_harbor;1403.64;9.50;161.79;-1.89;6839
27;floating_harbor;1436.60;9.50;188.80;-2.21;6946
27;floating_harbor;1414.60;9.50;170.50;-2.76;12246
27;floating_harbor;1377.00;9.50;148.00;-3.14;12258
28;air_base;1648.00;10.00;295.00;4.84;0
28;naval_base;1708.00;10.00;307.00;-4.64;12111
28;bunker;1649.00;10.00;315.00;4.91;0
28;floating_harbor;1714.98;9.50;284.50;-1.50;1875
28;floating_harbor;1714.55;9.50;312.54;-1.93;5114
28;floating_harbor;1715.98;9.50;304.54;-1.49;12124
29;air_base;1616.00;10.00;253.00;2.78;0
29;naval_base;1708.00;10.00;259.00;-4.58;7283
29;bunker;1617.00;10.00;235.00;2.41;0
29;floating_harbor;1659.24;9.50;228.57;-3.55;1078
29;floating_harbor;1714.40;9.50;252.84;-1.15;2405
29;floating_harbor;1641.21;9.50;225.36;-2.82;3038
29;floating_harbor;1682.99;9.50;229.07;-3.00;6851
29;floating_harbor;1715.94;9.50;260.91;-1.44;12177
29;floating_harbor;1653.80;9.50;226.24;-2.88;12190
29;floating_harbor;1624.60;9.50;223.50;-2.76;12207
30;air_base;1738.00;10.00;229.00;1.83;0
30;naval_base;1730.00;9.50;241.00;-2.62;7283
30;bunker;1754.00;10.00;205.00;1.90;0
30;floating_harbor;1722.14;9.50;226.37;1.37;1075
30;floating_harbor;1744.87;9.50;197.74;-3.61;1584
30;floating_harbor;1729.73;9.50;199.99;-2.18;2778
30;floating_harbor;1726.53;9.50;257.08;0.52;3088
31;air_base;1810.00;10.00;249.00;2.68;0
31;bunker;1842.00;10.00;241.00;2.85;0
32;air_base;1895.00;10.00;244.00;1.73;0
32;bunker;1916.00;10.00;248.00;4.91;0
33;air_base;1977.00;10.00;258.00;5.96;0
33;bunker;1940.00;10.00;258.00;2.85;0
34;air_base;2074.00;10.00;229.00;0.18;0
34;naval_base;2066.00;10.00;222.00;0.40;12354
34;bunker;2062.00;10.00;232.00;0.25;0
34;floating_harbor;2072.76;9.50;215.57;-2.74;4311
34;floating_harbor;2042.87;9.50;211.74;-3.61;5176
34;floating_harbor;2098.00;9.50;219.00;-3.14;6094
34;floating_harbor;2087.46;9.50;217.45;-2.78;12206
35;air_base;1285.00;10.00;188.00;4.40;0
35;naval_base;1325.00;9.50;181.00;0.00;12766
35;bunker;1352.00;10.00;198.00;5.59;0
35;floating_harbor;1306.00;9.50;174.00;-3.14;106
35;floating_harbor;1286.25;9.50;174.11;-2.96;1896
35;floating_harbor;1324.00;9.50;174.00;-3.14;5952
35;floating_harbor;1355.21;9.50;185.36;-2.82;12236
35;floating_harbor;1269.00;9.50;174.00;-3.14;12240
35;floating_harbor;1345.20;9.50;176.40;-2.50;12242
36;air_base;1229.00;10.00;197.00;4.91;0
36;bunker;1228.00;10.00;227.00;4.57;0
